Date	Time	CongHt
1/28/20	17:45	12.63
1/28/20	18:00	12.65
1/28/20	18:15	12.65
1/28/20	18:30	12.67
1/28/20	18:45	12.67
1/28/20	19:00	12.68
1/28/20	19:15	12.67
1/28/20	19:30	12.68
1/28/20	19:45	12.68
1/28/20	20:00	12.68
1/28/20	20:15	12.69
1/28/20	20:30	12.68
1/28/20	20:45	12.67
1/28/20	21:00	12.66
1/28/20	21:15	12.66
1/28/20	21:30	12.66
1/28/20	21:45	12.65
1/28/20	22:00	12.62
1/28/20	22:15	12.62
1/28/20	22:30	12.59
1/28/20	22:45	12.56
1/28/20	23:00	12.56
1/28/20	23:15	12.53
1/28/20	23:30	12.51
1/28/20	23:45	12.48
1/29/20	0:00	12.44
1/29/20	0:15	12.42
1/29/20	0:30	12.38
1/29/20	0:45	12.36
1/29/20	1:00	12.3
1/29/20	1:15	12.26
1/29/20	1:30	12.24
1/29/20	1:45	12.19
1/29/20	2:00	12.15
1/29/20	2:15	12.1
1/29/20	2:30	12.06
1/29/20	2:45	12
1/29/20	3:00	11.96
1/29/20	3:15	11.91
1/29/20	3:30	11.85
1/29/20	3:45	11.81
1/29/20	4:00	11.75
1/29/20	4:15	11.71
1/29/20	4:30	11.64
1/29/20	4:45	11.59
1/29/20	5:00	11.53
1/29/20	5:15	11.48
1/29/20	5:30	11.42
1/29/20	5:45	11.36
1/29/20	6:00	11.31
1/29/20	6:15	11.26
1/29/20	6:30	11.2
1/29/20	6:45	11.15
1/29/20	7:00	11.1
1/29/20	7:15	11.05
1/29/20	7:30	11.01
1/29/20	7:45	10.97
1/29/20	8:00	10.92
1/29/20	8:15	10.88
1/29/20	8:30	10.86
1/29/20	8:45	10.83
